realDate,Date,Adj_Close,Adj_Won,Open,High,Low,Volume
2002.04.10,20020410,4000.0,-620.0,4230.0,4270.0,3870.0,255143.0
2002.04.11,20020411,4020.0,20.0,4100.0,4200.0,3950.0,216382.0
2002.04.12,20020412,3980.0,-40.0,3910.0,4120.0,3830.0,170186.0
2002.04.15,20020415,4140.0,160.0,3870.0,4250.0,3870.0,169908.0
2002.04.16,20020416,4520.0,380.0,4280.0,4570.0,4250.0,461954.0
2002.04.17,20020417,4450.0,-70.0,4590.0,4800.0,4360.0,454865.0
2002.04.18,20020418,4440.0,-10.0,4600.0,4600.0,4400.0,200529.0
2002.04.19,20020419,4050.0,-390.0,4380.0,4500.0,3930.0,233100.0
2002.04.22,20020422,3970.0,-80.0,4010.0,4250.0,3850.0,340323.0
2002.04.23,20020423,4000.0,30.0,4000.0,4090.0,3760.0,137502.0
2002.04.24,20020424,3660.0,-340.0,3810.0,4040.0,3600.0,162297.0
2002.04.25,20020425,3250.0,-410.0,3510.0,3540.0,3240.0,168651.0
2002.04.26,20020426,3550.0,300.0,3250.0,3550.0,3250.0,176918.0
2002.04.29,20020429,3440.0,-110.0,3450.0,3670.0,3340.0,94631.0
2002.04.30,20020430,3440.0,0.0,3510.0,3510.0,3280.0,80823.0
2002.05.02,20020502,3410.0,-30.0,3650.0,3650.0,3410.0,76498.0
2002.05.03,20020503,3690.0,280.0,3410.0,3770.0,3410.0,138520.0
2002.05.06,20020506,3600.0,-90.0,3610.0,3700.0,3560.0,72399.0
2002.05.07,20020507,3430.0,-170.0,3410.0,3560.0,3410.0,52250.0
2002.05.08,20020508,3500.0,70.0,3500.0,3570.0,3470.0,49982.0
2002.05.09,20020509,3800.0,300.0,3610.0,3820.0,3570.0,236345.0
2002.05.10,20020510,3620.0,-180.0,3720.0,3800.0,3620.0,153324.0
2002.05.13,20020513,3500.0,-120.0,3590.0,3600.0,3490.0,118098.0
2002.05.14,20020514,3620.0,120.0,3550.0,3800.0,3510.0,361974.0
2002.05.15,20020515,3650.0,30.0,3650.0,3750.0,3580.0,115560.0
2002.05.16,20020516,3650.0,0.0,3540.0,3720.0,3540.0,88990.0
2002.05.17,20020517,3710.0,60.0,3610.0,3720.0,3610.0,73940.0
2002.05.20,20020520,3900.0,190.0,3730.0,3910.0,3660.0,121623.0
2002.05.21,20020521,3610.0,-290.0,3780.0,3900.0,3610.0,133738.0
2002.05.22,20020522,3620.0,10.0,3670.0,3740.0,3500.0,86697.0
2002.05.23,20020523,3320.0,-300.0,3570.0,3690.0,3320.0,89497.0
2002.05.24,20020524,3210.0,-110.0,3320.0,3410.0,3190.0,75791.0
2002.05.27,20020527,3250.0,40.0,3250.0,3490.0,3150.0,79745.0
2002.05.28,20020528,3280.0,30.0,3350.0,3350.0,3120.0,30627.0
2002.05.29,20020529,3080.0,-200.0,3300.0,3300.0,3080.0,36432.0
2002.05.30,20020530,3070.0,-10.0,3050.0,3150.0,3040.0,35081.0
2002.05.31,20020531,3130.0,60.0,3150.0,3160.0,3070.0,27203.0
2002.06.03,20020603,3140.0,10.0,3150.0,3150.0,3000.0,28422.0
2002.06.04,20020604,3200.0,60.0,2770.0,3200.0,2770.0,49735.0
2002.06.05,20020605,3150.0,-50.0,3160.0,3250.0,3110.0,18522.0
2002.06.07,20020607,3000.0,-150.0,3160.0,3160.0,2930.0,51781.0
2002.06.10,20020610,3000.0,0.0,3000.0,3050.0,2920.0,47534.0
2002.06.11,20020611,3000.0,0.0,3100.0,3100.0,2940.0,21290.0
2002.06.12,20020612,2900.0,-100.0,2850.0,3030.0,2850.0,35946.0
2002.06.14,20020614,2860.0,-40.0,2820.0,2980.0,2800.0,42533.0
2002.06.17,20020617,2850.0,-10.0,2900.0,2900.0,2830.0,29102.0
2002.06.18,20020618,2800.0,-50.0,2900.0,2920.0,2770.0,33559.0
2002.06.19,20020619,2470.0,330.0,2900.0,2900.0,2470.0,79734.0
2002.06.20,20020620,2460.0,-10.0,2410.0,2520.0,2380.0,37390.0
2002.06.21,20020621,2370.0,-90.0,2450.0,2450.0,2220.0,12900.0
2002.06.24,20020624,2490.0,120.0,2260.0,2490.0,2090.0,47694.0
2002.06.25,20020625,2370.0,-120.0,2450.0,2530.0,2250.0,20093.0
2002.06.26,20020626,2090.0,280.0,2280.0,2280.0,2090.0,16632.0
2002.06.27,20020627,1930.0,-160.0,2160.0,2260.0,1840.0,35782.0
2002.06.28,20020628,2100.0,170.0,1880.0,2140.0,1880.0,53971.0
2002.07.02,20020702,2100.0,0.0,1960.0,2150.0,1960.0,26891.0
2002.07.03,20020703,2180.0,80.0,1970.0,2280.0,1970.0,34936.0
2002.07.04,20020704,2400.0,220.0,2230.0,2400.0,2200.0,36771.0
2002.07.05,20020705,2590.0,190.0,2390.0,2650.0,2320.0,96082.0
2002.07.08,20020708,2650.0,60.0,2900.0,2900.0,2590.0,147148.0
2002.07.09,20020709,2710.0,60.0,2600.0,2710.0,2500.0,51352.0
2002.07.10,20020710,2600.0,-110.0,2620.0,2740.0,2550.0,59515.0
2002.07.11,20020711,2890.0,290.0,2450.0,2890.0,2430.0,94311.0
2002.07.12,20020712,2710.0,-180.0,2780.0,2890.0,2710.0,51495.0
2002.07.15,20020715,2610.0,-100.0,2610.0,2730.0,2550.0,62255.0
2002.07.16,20020716,2490.0,-120.0,2570.0,2640.0,2420.0,23079.0
2002.07.18,20020718,2400.0,-90.0,2410.0,2500.0,2400.0,27658.0
2002.07.19,20020719,2250.0,-150.0,2240.0,2350.0,2200.0,38180.0
2002.07.22,20020722,2130.0,-120.0,2190.0,2190.0,2030.0,40650.0
2002.07.23,20020723,2240.0,110.0,1950.0,2350.0,1950.0,99209.0
2002.07.24,20020724,2120.0,-120.0,2140.0,2200.0,2040.0,51653.0
2002.07.25,20020725,2150.0,30.0,2180.0,2300.0,2150.0,38159.0
2002.07.26,20020726,2020.0,-130.0,2030.0,2150.0,2010.0,19857.0
2002.07.29,20020729,2080.0,60.0,2040.0,2160.0,2040.0,19265.0
2002.07.30,20020730,2200.0,120.0,2110.0,2310.0,2110.0,26776.0
2002.07.31,20020731,2150.0,-50.0,2300.0,2330.0,2080.0,15124.0
2002.08.01,20020801,2140.0,-10.0,2100.0,2240.0,2100.0,9469.0
2002.08.02,20020802,2160.0,20.0,2140.0,2160.0,2080.0,14185.0
2002.08.05,20020805,1990.0,-170.0,2150.0,2150.0,1980.0,29791.0
2002.08.06,20020806,2050.0,60.0,1920.0,2220.0,1920.0,170904.0
2002.08.07,20020807,2110.0,60.0,2080.0,2150.0,2060.0,68037.0
2002.08.08,20020808,2090.0,-20.0,2150.0,2160.0,2090.0,28645.0
2002.08.09,20020809,2010.0,-80.0,2120.0,2160.0,2010.0,52177.0
2002.08.12,20020812,2120.0,110.0,1980.0,2120.0,1980.0,27138.0
2002.08.13,20020813,2150.0,30.0,2090.0,2150.0,2070.0,67445.0
2002.08.14,20020814,2200.0,50.0,2150.0,2200.0,2120.0,45707.0
2002.08.16,20020816,2250.0,50.0,2330.0,2350.0,2250.0,32652.0
2002.08.19,20020819,2210.0,-40.0,2170.0,2270.0,2100.0,48010.0
2002.08.20,20020820,2220.0,10.0,2290.0,2290.0,2100.0,110114.0
2002.08.21,20020821,2150.0,-70.0,2200.0,2230.0,2110.0,61177.0
2002.08.22,20020822,2220.0,70.0,2150.0,2350.0,2130.0,182677.0
2002.08.23,20020823,2380.0,160.0,2230.0,2450.0,2210.0,168868.0
2002.08.26,20020826,2510.0,130.0,2350.0,2610.0,2330.0,118345.0
2002.08.27,20020827,2500.0,-10.0,2510.0,2600.0,2450.0,58239.0
2002.08.28,20020828,2400.0,-100.0,2460.0,2630.0,2300.0,79766.0
2002.08.29,20020829,2490.0,90.0,2300.0,2490.0,2270.0,49935.0
2002.08.30,20020830,2590.0,100.0,2610.0,2780.0,2550.0,674480.0
2002.09.02,20020902,2410.0,-180.0,2530.0,2540.0,2410.0,78145.0
2002.09.03,20020903,2480.0,70.0,2410.0,2480.0,2350.0,34556.0
2002.09.04,20020904,2490.0,10.0,2410.0,2490.0,2350.0,19241.0
2002.09.05,20020905,2780.0,290.0,2470.0,2780.0,2360.0,335100.0
2002.09.06,20020906,2750.0,-30.0,2780.0,2880.0,2680.0,426905.0
2002.09.09,20020909,2600.0,-150.0,2870.0,2870.0,2460.0,303810.0
2002.09.10,20020910,2500.0,-100.0,2700.0,2700.0,2460.0,91392.0
2002.09.11,20020911,2450.0,-50.0,2450.0,2630.0,2450.0,112667.0
2002.09.12,20020912,2280.0,-170.0,2320.0,2500.0,2170.0,155266.0
2002.09.13,20020913,2250.0,-30.0,2320.0,2320.0,2180.0,42729.0
2002.09.16,20020916,2200.0,-50.0,2200.0,2250.0,2190.0,47429.0
2002.09.17,20020917,2420.0,220.0,2180.0,2420.0,2170.0,66447.0
2002.09.18,20020918,2240.0,-180.0,2350.0,2350.0,2200.0,59718.0
2002.09.19,20020919,2250.0,10.0,2490.0,2490.0,2250.0,26617.0
2002.09.23,20020923,2250.0,0.0,2180.0,2320.0,2180.0,21812.0
2002.09.24,20020924,2290.0,40.0,2010.0,2290.0,2010.0,46179.0
2002.09.25,20020925,2260.0,-30.0,2260.0,2450.0,2130.0,98508.0
2002.09.26,20020926,2220.0,-40.0,2270.0,2330.0,2130.0,62336.0
2002.09.27,20020927,2100.0,-120.0,2130.0,2300.0,2070.0,29420.0
2002.09.30,20020930,2050.0,-50.0,2010.0,2050.0,1850.0,100986.0
2002.10.01,20021001,2020.0,-30.0,1950.0,2060.0,1950.0,15326.0
2002.10.02,20021002,2020.0,0.0,2050.0,2100.0,1890.0,49306.0
2002.10.04,20021004,1980.0,-40.0,1940.0,2000.0,1910.0,29122.0
2002.10.07,20021007,1970.0,-10.0,1950.0,2010.0,1890.0,43933.0
